Id,Lat,Lng,Name,Count
246173626,25.11750253,121.464539502,"關渡腳踏車道",5
124932122,24.987212321,121.576965592,"政大企管715",1
214976086,25.045241938,121.528311667,"Offline Cafe 離線咖啡 - 華山1914文化創意產業園區",16
977239,25.047972,121.517793,"台北駅公衆トイレ Public Toilet",30
160859221,25.047324,121.53291,"無限制娛樂",3
107942415,25.138150164,121.502899362,"宜家居酒店式公寓",6
46363657,25.055824304,121.492888248,"亂掰",1
245621854,25.035070132,121.565787955,"Vapinao",3
258299,25.065231214,121.511081028,"鮮肉湯圓",21
27832539,25.044754239,121.525444877,"吉野家",1
51424509,24.958301614,121.537794075,"新店捷運站",82
2224724,24.92945688,121.544822728,"甕仔壯壯雞",41
835094,25.0557121,121.61101,"念戀小館",1
246154252,25.130065225,121.47174618,"淡水捷運上",1
242703723,25.073534749,121.578614026,"魚霸現撈海鮮 -  內湖店",4
31979394,25.114685059,121.532844543,"新光三越天母店 兒童樓層6F",2
92357368,25.085756,121.564791,"C25 咖啡",3
157622445,24.994941745,121.469025376,"雲林薑母鴨",4
7914309,25.030192724,121.533294842,"新生國小",37
597443,25.055487,121.613013,"恩花園 Ann 韓國料理",8
